"ID","cluster","maxflow"
"400002",1,2030.69042983375
"400006",1,2026.80213059776
"400007",1,2064.11355079465
"400009",1,1840.53239017126
"400010",1,2067.57231783229
"400011",1,1942.39254513686
"400014",1,2025.48148148148
"400015",1,1888.79189399844
"400017",1,1803.30550918196
"400025",1,1978.58373419845
"400026",1,2100.32241289651
"400028",1,1914.27493261456
"400030",1,1973.55912743972
"400037",1,2327.34470989762
"400038",1,2081.81547895568
"400039",1,2057.97088663432
"400040",1,2072.51880162742
"400041",1,1892.37610234753
"400043",1,2101.5225509911
"400045",1,1913.49152542373
"400048",1,2256.93658536586
"400049",1,2484.89892984542
"400050",1,1605.04589027126
"400052",1,2271.80530330548
"400057",1,1900.47792372211
"400059",1,2017.53321701785
"400060",1,1818.66713557236
"400065",1,1870.19929660024
"400067",1,2112.28968315905
"400069",1,2347.91220368744
"400075",1,1726.13192612137
"400078",1,1997.6394074431
"400079",1,2033.37549692808
"400082",1,2036.11346884074
"400083",1,1929.42465753425
"400084",1,1972.12101390024
"400088",1,2376.5159658552
"400091",1,2358.43484178292
"400095",1,1938
"400096",1,2319.16573793982
"400097",1,1872.22008733625
"400101",1,2009.50533462658
"400103",1,1761.04981253347
"400104",1,2162.76678228932
"400105",1,2334.5353504168
"400106",1,2076.48885712429
"400108",1,1598.97650130548
"400110",1,1743.81311228334
"400111",1,1777.43360504864
"400113",1,1896.89568675436
"400115",1,2262.64490714688
"400116",1,1898.32134292566
"400118",1,2387.2513562387
"400119",1,1791.04306220095
"400122",1,2327.14848883049
"400124",1,2209.75192472198
"400126",1,1749.35258610486
"400127",1,1860.74328061055
"400128",1,2492.77777777777
"400132",1,2585.24458700882
"400137",1,2133.7458563536
"400141",1,2187.45959922431
"400143",1,2102.28066570782
"400145",1,2364.2
"400146",1,2101.15454999168
"400148",1,2015.10260457774
"400149",1,1674.56475583864
"400152",1,2211.35011441648
"400154",1,1521.01983002833
"400164",1,2058.56866537717
"400168",1,2209.70074215944
"400171",1,2031.57987062822
"400172",1,1860.50086355786
"400176",1,1794.41898902713
"400178",1,2152.62810908002
